,IDF
mortar,5.5093883366279774
assault,5.5093883366279774
leav,4.418840607796598
at,3.3440389678222067
least,5.5093883366279774
dead,4.135166556742356
goal,4.820281565605037
delight,5.5093883366279774
for,2.4203681286504293
sheva,5.5093883366279774
nigeria,5.5093883366279774
hostag,5.5093883366279774
fear,4.820281565605037
is,3.242592351485517
freed,4.820281565605037
bomber,5.5093883366279774
kill,3.457892725338701
shopper,4.820281565605037
veget,4.418840607796598
not,3.7376696182833684
fruit,5.5093883366279774
slow,4.820281565605037
brain,4.418840607796598
declin,5.5093883366279774
pm,5.5093883366279774
havana,5.5093883366279774
deal,3.9160150266976834
a,3.242592351485517
good,3.7376696182833684
experi,5.5093883366279774
kate,5.5093883366279774
marri,5.5093883366279774
doherti,5.5093883366279774
nasa,4.820281565605037
revisit,5.5093883366279774
life,3.587479339672207
on,2.5427262206768266
mar,4.135166556742356
question,4.820281565605037
happi,4.418840607796598
birthdai,5.5093883366279774
ipod,4.820281565605037
alonso,5.5093883366279774
would,5.5093883366279774
be,3.7376696182833684
to,2.108429078553088
retir,5.5093883366279774
with,4.135166556742356
three,4.135166556742356
titl,5.5093883366279774
madonna,3.9160150266976834
s,2.1900303017021923
new,3.3440389678222067
tot,5.5093883366279774
home,4.820281565605037
in,1.795155058229193
london,4.820281565605037
nicol,5.5093883366279774
kidman,5.5093883366279774
ask,5.5093883366279774
dad,4.820281565605037
help,4.820281565605037
stop,5.5093883366279774
husband,5.5093883366279774
drink,4.418840607796598
unit,5.5093883366279774
find,3.587479339672207
connect,5.5093883366279774
win,3.9160150266976834
runwai,5.5093883366279774
make,4.418840607796598
without,5.5093883366279774
nice,5.5093883366279774
we,4.418840607796598
were,5.5093883366279774
arrog,4.820281565605037
and,3.1511808120968494
stupid,5.5093883366279774
over,4.135166556742356
iraq,3.068052935133617
sai,3.457892725338701
us,3.457892725338701
diplomat,4.820281565605037
bad,4.820281565605037
reason,4.820281565605037
babi,5.5093883366279774
daddi,5.5093883366279774
didn,5.5093883366279774
t,5.5093883366279774
realiz,5.5093883366279774
adopt,4.135166556742356
wa,5.5093883366279774
women,4.418840607796598
their,4.418840607796598
ar,4.418840607796598
perfectli,5.5093883366279774
mother,5.5093883366279774
re,4.820281565605037
pretti,5.5093883366279774
kind,5.5093883366279774
bulli,5.5093883366279774
moder,4.820281565605037
reduc,4.820281565605037
men,4.135166556742356
heart,4.820281565605037
attack,3.9160150266976834
risk,4.820281565605037
tom,4.820281565605037
cruis,4.820281565605037
kati,4.820281565605037
holm,4.820281565605037
set,4.135166556742356
wed,4.820281565605037
date,4.418840607796598
kidnap,4.418840607796598
ap,5.5093883366279774
photograph,4.418840607796598
gaza,4.135166556742356
bush,4.820281565605037
insist,4.418840607796598
troop,4.418840607796598
stai,5.5093883366279774
predict,5.5093883366279774
midterm,5.5093883366279774
victori,4.135166556742356
hurrican,4.820281565605037
paul,4.418840607796598
weaken,5.5093883366279774
tropic,4.418840607796598
storm,4.418840607796598
uk,4.418840607796598
announc,5.5093883366279774
immigr,4.135166556742356
restrict,4.820281565605037
found,4.135166556742356
aliv,4.820281565605037
from,3.3440389678222067
miss,3.7376696182833684
russian,3.9160150266976834
ship,3.9160150266976834
report,4.418840607796598
poison,5.5093883366279774
pill,5.5093883366279774
swallow,5.5093883366279774
hawk,5.5093883366279774
hurt,5.5093883366279774
after,3.7376696182833684
loss,5.5093883366279774
vike,4.135166556742356
injur,5.5093883366279774
marathon,4.418840607796598
winner,4.820281565605037
hospit,5.5093883366279774
hacker,5.5093883366279774
unlock,5.5093883366279774
appl,4.820281565605037
music,4.820281565605037
download,5.5093883366279774
protect,4.820281565605037
spanish,5.5093883366279774
journalist,4.820281565605037
seiz,5.5093883366279774
sudan,5.5093883366279774
urg,4.820281565605037
un,5.5093883366279774
replac,5.5093883366279774
it,4.820281565605037
special,5.5093883366279774
envoi,5.5093883366279774
resolut,5.5093883366279774
approv,4.820281565605037
intern,5.5093883366279774
game,4.418840607796598
pair,4.820281565605037
of,2.4592171636726894
satellit,4.418840607796598
will,4.418840607796598
document,5.5093883366279774
sun,4.820281565605037
d,5.5093883366279774
martian,4.820281565605037
could,4.418840607796598
have,3.7376696182833684
evad,4.820281565605037
detect,4.820281565605037
by,3.587479339672207
lander,4.820281565605037
the,2.921624301400269
sweet,4.820281565605037
tune,4.820281565605037
an,3.7376696182833684
anniversari,4.820281565605037
did,5.5093883366279774
probe,4.418840607796598
acknowledg,5.5093883366279774
more,5.5093883366279774
human,5.5093883366279774
remain,5.5093883366279774
ground,5.5093883366279774
zero,5.5093883366279774
how,5.5093883366279774
prevent,4.820281565605037
get,4.820281565605037
even,5.5093883366279774
wors,5.5093883366279774
